OBJECTID,PUDNAME,SPDNAME,TYPE,BASE_ZONE,OVERLAY,PROJ_NUMB,ORDINANCE,ORD_DATE,CHANG_DATE,ZONE,URL,DESCRIPTION,Shape__Area,Shape__Length
6565, , ,R,R-1A, , , ,,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,92765.076171875,1179.99569950188
6566, , ,C,C-2, ,GP 2030,2009-047,10/27/2009,01/01/2010,C-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-vii&frames=on,General Commercial Zone,39443.642578125,825.69893252991
6567, , ,R,R-1A, , , ,,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,94313.8330078125,1264.26512741011
6568, , ,R,R-1A, , , ,,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,96075.0615234375,1814.12246435483
6569, , ,R,R-1A, , , ,,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,96810.9755859375,1278.34365984519
6570, , ,R,R-1A, , , ,,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,97577.1640625,2163.01330990172
6571, , ,R,R-1A, , , ,,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,98228.072265625,1791.49576916989
6572, , ,R,R-1A, , ,2003-021,05/20/2003,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,98826.330078125,2064.15798122383
6573, , ,R,R-1A, , , ,,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,101148.76171875,1335.91599928856
6574, , ,R,R-1A, ,P93-144,99-014,04/20/1999,04/27/2006,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,103014.166015625,1889.72279918879
